SITE,DATE,STANDTEMP,InvGPP,InvER
nwis_01480617,10/1/07,-0.342107007,0.608227804,1.271180502
nwis_01480617,10/6/07,-0.705450862,0.475021192,0.668808178
nwis_01480617,10/15/07,0.058026584,0.690652624,0.553956981
nwis_01480617,10/16/07,-0.075272424,0.578390778,0.527749639
nwis_01480617,10/17/07,-0.242532138,0.514754343,0.371868146
nwis_01480617,10/24/07,-0.42323555,1.280359713,0.245698981
nwis_01480617,10/25/07,-0.044790516,1.405875555,0.304051779
nwis_01480617,10/30/07,0.547764424,1.209417154,1.164897298
nwis_01480617,10/31/07,0.484742087,1.097028371,0.602091513
nwis_01480617,11/1/07,0.355130383,1.01248981,0.582762164
nwis_01480617,11/9/07,0.973964085,0.558181954,
nwis_01480617,11/10/07,0.893489146,0.71223702,
nwis_01480617,11/11/07,0.946189106,0.534376401,
nwis_01480617,11/12/07,0.741025923,0.513150243,0.768081527
nwis_01480617,11/13/07,0.548661882,0.786861835,0.550908043
nwis_01480617,11/15/07,0.638907834,,
nwis_01480617,11/16/07,0.885884687,1.564470881,
nwis_01480617,11/20/07,1.036671445,,0.545510892
nwis_01480617,3/5/08,0.891055413,0.394389371,
nwis_01480617,3/6/08,1.035446063,0.257828932,0.526107958
nwis_01480617,3/7/08,1.102028217,0.280190063,0.344515549
nwis_01480617,3/8/08,1.056900751,1.668596641,0.338264222
nwis_01480617,3/9/08,1.173450643,0.928499427,0.816781188
nwis_01480617,3/10/08,1.246048463,0.305345567,0.557636489
nwis_01480617,3/11/08,1.067022835,0.198929131,0.340267025
nwis_01480617,3/12/08,1.048009677,0.224482006,0.349791594
nwis_01480617,3/13/08,1.026258014,0.19419388,0.294942075
nwis_01480617,3/15/08,0.690355088,0.144937095,0.290102779
nwis_01480617,3/16/08,0.786676444,0.181164687,0.47659354
nwis_01480617,3/17/08,0.857620746,0.236085516,0.311825772
nwis_01480617,3/18/08,0.939479889,0.177548818,0.567258411
nwis_01480617,3/25/08,0.96907786,0.188803009,0.238956898
nwis_01480617,3/26/08,0.822421159,0.165546015,0.155417387
nwis_01480617,3/27/08,0.876763043,0.224677105,0.141292262
nwis_01480617,3/29/08,0.886797073,0.156389457,0.438883497
nwis_01480617,3/30/08,0.896835998,0.159582267,0.301514359
nwis_01480617,3/31/08,0.877675026,0.272269682,0.278237795
nwis_01480617,4/1/08,0.538792019,0.163080361,0.21239992
nwis_01480617,4/2/08,0.622387927,0.110052839,0.216978173
nwis_01480617,4/3/08,0.815752171,0.125297677,0.212936635
nwis_01480617,4/4/08,0.777296194,0.158980305,0.167028086
nwis_01480617,4/5/08,0.610081765,0.129305016,0.140933606
nwis_01480617,4/6/08,0.66085488,0.16223756,0.139432793
nwis_01480617,4/7/08,0.746764444,0.21160511,0.182438253
nwis_01480617,4/8/08,0.596883388,0.104838746,0.108536563
nwis_01480617,4/16/08,0.289156282,0.098863041,0.188966716
nwis_01480617,4/17/08,0.124715186,0.083146406,0.136712859
nwis_01480617,4/18/08,-0.10136303,0.077609855,0.132450371
nwis_01480617,4/19/08,-0.217776799,0.077493662,0.116607615
nwis_01480617,4/20/08,-0.222384762,0.080159502,0.064270285
nwis_01480617,4/21/08,-0.053504348,0.496854469,0.069617862
nwis_01480617,4/22/08,-0.079623211,0.142510952,0.071547331
nwis_01480617,4/24/08,-0.328935372,0.101297523,0.134486368
nwis_01480617,4/25/08,-0.263234017,0.115571144,0.153020784
nwis_01480617,4/26/08,-0.230446145,0.144117741,0.153699308
nwis_01480617,4/27/08,0.06766525,0.174271199,0.153525861
nwis_01480617,5/3/08,0.050143828,0.188076218,0.196258931
nwis_01480617,5/4/08,-0.102811516,0.130857194,0.174074188
nwis_01480617,5/5/08,-0.091800408,0.124354454,0.170930964
nwis_01480617,5/6/08,-0.173082211,0.091678614,0.113922329
nwis_01480617,5/7/08,-0.305147164,0.097662603,0.119954384
nwis_01480617,5/8/08,-0.309735047,0.187503616,0.136745844
nwis_01480617,5/9/08,0.078185415,0.932479851,0.140334799
nwis_01480617,5/10/08,0.222218492,0.28157382,0.151355452
nwis_01480617,5/11/08,0.217214421,0.219557484,0.152110907
nwis_01480617,5/12/08,0.437974813,0.229757687,0.111749393
nwis_01480617,5/13/08,0.128231222,0.146492297,0.10582819
nwis_01480617,5/14/08,-0.018917247,0.137987878,0.10524821
nwis_01480617,5/16/08,0.058026584,,0.085807113
nwis_01480617,5/17/08,0.06620455,0.300465781,0.084628418
nwis_01480617,5/20/08,0.420130303,0.834056748,0.160993988
nwis_01480617,5/21/08,0.242247151,0.712407851,0.945953806
nwis_01480617,5/22/08,0.250794813,0.411514275,
nwis_01480617,5/23/08,0.089295988,0.237188945,1.402545921
nwis_01480617,5/24/08,-0.025897585,0.276018694,0.91799967
nwis_01480617,5/25/08,-0.134651781,0.200164369,0.512161874
nwis_01480617,5/26/08,-0.351836981,0.174209081,0.270715776
nwis_01480617,5/27/08,-0.546578821,0.173933252,0.250481964
nwis_01480617,5/28/08,-0.300558227,0.165890371,0.262248288
nwis_01480617,5/29/08,-0.233324425,0.18483823,0.289151044
nwis_01480617,5/30/08,-0.425516088,0.21579397,0.349835935
nwis_01480617,5/31/08,-0.462822789,0.307781862,0.296321573
nwis_01480617,6/1/08,-0.603444906,0.210543243,0.239806382
nwis_01480617,6/2/08,-0.581113984,0.176004574,0.17974757
nwis_01480617,6/3/08,-0.611353633,0.160334998,0.15916888
nwis_01480617,6/4/08,-0.571212499,0.350500574,0.16510474
nwis_01480617,6/5/08,-0.647467692,0.326962831,0.226113715
nwis_01480617,6/6/08,-0.718656265,0.245613508,0.209196041
nwis_01480617,6/7/08,-0.998932676,0.191564245,0.187804627
nwis_01480617,6/8/08,-1.149268683,0.226015673,0.212558217
nwis_01480617,6/9/08,-1.255050819,0.178811682,0.166646977
nwis_01480617,6/11/08,-1.085137668,0.262531789,0.175237044
nwis_01480617,6/12/08,-1.029092236,0.231550679,0.163714976
nwis_01480617,6/13/08,-1.026327234,0.243231417,0.198981056
nwis_01480617,6/14/08,-0.99810194,0.300230634,0.295507929
nwis_01480617,6/15/08,-0.973163534,0.314468442,0.161393394
nwis_01480617,6/16/08,-0.888135541,0.286699408,0.172429396
nwis_01480617,6/17/08,-0.703202256,0.295891123,0.211279954
nwis_01480617,6/18/08,-0.431501257,0.429009662,0.242455043
nwis_01480617,6/19/08,-0.494095112,0.283713543,0.270490843
nwis_01480617,6/20/08,-0.589597041,0.255829912,0.258639098
nwis_01480617,6/21/08,-0.791268631,0.24812759,0.269976357
nwis_01480617,6/22/08,-0.894260938,0.20721894,0.220276366
